File,Câu,Câu hỏi,A,B,C,D,Đáp án,Trạng thái
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,38,Khía cạnh nào khiến chia sẻ tri thức trở thành nền tảng cho tổ chức học tập?,Vì nó dễ gây ra tình trạng trùng lặp dữ liệu không kiểm soát.,Vì tri thức cần được tách ngữ cảnh bởi người tạo và tái gắn ngữ cảnh bởi người dùng. ,Vì nó không thể đáp ứng yêu cầu bảo mật nội bộ.,Vì bộ nhớ này yêu cầu đầu tư hạ tầng lưu trữ quá lớn.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,42,Điều kiện cần để đạt “critical volume” trong chia sẻ tri thức là gì?,Nút mạng dùng để phân phối địa chỉ IP cho các máy khách.,Thiết bị trung gian mã hóa dữ liệu trước khi gửi đi trên mạng.,Trình duyệt được cài đặt để hiển thị thông tin dạng đồ họa.,Máy tính lưu trữ và cung cấp các tài nguyên thông tin cho người dùng truy cập. ,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,46,Lợi ích nổi bật của giao tiếp không đồng bộ (asynchronous) trong chia sẻ tri thức là gì?,Cấu phần bảo mật chống thất thoát tri thức nội bộ.,Công cụ phân tích dữ liệu phi cấu trúc phục vụ khai phá tri thức.,Cơ chế phân quyền truy cập dữ liệu dựa trên vai trò người dùng.,Kho lưu trữ điện tử trung tâm với nhiều điểm truy cập khác nhau. ,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,50,Một tổ chức được xem là “learning organization” khi nào?,Cơ sở dữ liệu thuần túy phục vụ lưu trữ báo cáo khoa học.,Hệ thống hướng dẫn giúp chuẩn hóa quy trình trong mọi trường hợp.,"Tri thức hoặc hiểu biết có được thông qua trải nghiệm, dù thành công hay thất bại. ",Tập hợp các quy tắc mô phỏng quy trình thiết kế kỹ thuật phức tạp.,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,54,Ví dụ “tri thức về cách đi xe đạp” được dùng để minh họa điều gì?,Không thể kết nối được với nhiều người trong cùng một cuộc gọi.,Không đảm bảo được tính bảo mật của nội dung trao đổi.,Không thể ghi âm hay lưu trữ nội dung cuộc nói chuyện.,"Không truyền tải được thông tin phi ngôn ngữ như tài liệu, hình ảnh hay sơ đồ. ",,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,58,Ứng dụng mở rộng gần đây của hệ thống cảnh báo là gì?,Vì hệ thống mới thường không tương thích với công cụ truyền thống.,Vì dữ liệu tổ chức thường bị trùng lặp giữa các bộ phận.,Vì việc tách rời hệ thống sẽ giúp bảo mật thông tin hơn.,Vì con người có xu hướng tránh các nỗ lực phải hình thức hóa tri thức thủ công. ,,Đúng
Chapter 8 - Part 1 - Mini Test_ Xem lại lần làm thử.txt,60,Tại sao việc chia sẻ tri thức ẩn lại khó đạt được so với tri thức hiện?,"Không gắn kết được con người, quy trình và công nghệ trong cùng bối cảnh. ",Quá tập trung vào các chỉ số định lượng thay vì nội dung thực chất.,Không có cơ chế lọc tri thức dư thừa trong kho dữ liệu.,Dựa quá nhiều vào việc lưu trữ dữ liệu hình ảnh thay vì văn bản. ◄ Câu hỏi - Nhóm 11 Chuyển tới... Câu hỏi - Nhóm 12 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app GET SOCIAL    ,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,2,Hệ thống bài học kinh nghiệm (LLS) có mục tiêu cốt lõi là gì?,Vì ontology làm giảm chi phí phần cứng trong quản trị dữ liệu.,Vì ontology thay thế hoàn toàn vai trò của chuyên gia lĩnh vực.,Vì ontology đơn giản hóa toàn bộ cấu trúc dữ liệu phi ngữ nghĩa.,Vì ontology giúp mô hình hóa và kết nối các tri thức ẩn phức tạp. ,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,6,"Theo định nghĩa của Weber et al. (2001), bài học kinh nghiệm là gì?",Taxonomy mô tả hành vi người dùng; semantic network mô phỏng tri thức ẩn.,"Taxonomy mang tính mô phỏng, semantic network mang tính định lượng.",Taxonomy chỉ tồn tại trong AI; semantic network chỉ áp dụng cho Web.,Taxonomy dùng cấu trúc phân cấp; semantic network dùng cấu trúc mạng. ,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,10,Hệ thống quản trị tri thức chia sẻ tri thức ẩn chủ yếu được xây dựng để hỗ trợ điều gì?,Lợi ích tài chính được quy đổi bằng điểm thưởng nội bộ.,Yêu cầu từ chính sách đào tạo bắt buộc của tổ chức.,"Niềm đam mê chủ đề, giá trị nhận được từ cộng đồng và mối liên kết cảm xúc. ",Cơ hội thăng tiến được đảm bảo khi tham gia cộng đồng.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,14,Ai là người chịu trách nhiệm xác minh bài học trước khi đưa vào LLS?,Lĩnh vực này không quan trọng đối với tổ chức.,Tổ chức cần tuyển hoặc đào tạo thêm chuyên gia trong lĩnh vực đó. ,Hệ thống đã bị lỗi dữ liệu cần được hiệu chỉnh.,Các chuyên gia hiện tại phải đảm nhiệm thêm nhiệm vụ mới.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,18,Phương pháp “interactive collection” khác biệt ở điểm nào?,Mức độ tự động hóa và số lượng nhân viên IT.,"Mục đích triển khai, cách truy cập, phạm vi và phân loại năng lực. ","Cấu trúc phần cứng, tốc độ xử lý, dung lượng bộ nhớ.",Độ chính xác của thuật toán tìm kiếm dữ liệu.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,22,Một yếu tố quan trọng dẫn đến thành công của mô hình CoPs tại World Bank là gì?,Là các tiểu ban cố định được bổ nhiệm bởi ban lãnh đạo cấp cao.,Là các tổ chức phi lợi nhuận được cấp vốn độc lập từ chính phủ.,Là nhóm tự nguyện của các cá nhân cùng đam mê một chủ đề và có thể bao gồm cả đối tác bên ngoài. ,Là mạng lưới đào tạo kỹ năng quản lý dự án xuyên quốc gia.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,26,Phương pháp “reactive collection” khác biệt ở điểm nào?,"Giáo dục, nơi giáo viên phản hồi sau mỗi buổi giảng dạy.","Quân sự, nơi bài học được thu thập sau khi kết thúc nhiệm vụ. ","Tài chính, nơi nhà đầu tư rút kinh nghiệm từ giao dịch.","Y học, nơi dữ liệu được thu thập trong quá trình điều trị bệnh.",,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,30,"Trong các phương thức phổ biến tri thức, “proactive dissemination” có ý nghĩa gì?",Hệ thống quét tài liệu để tìm các bài học có chứa từ khóa đặc trưng. ,Hệ thống tự động phân loại bài học theo ngành nghề.,Người dùng chủ động chia sẻ kinh nghiệm trong diễn đàn nội bộ.,Tổ chức tổ chức hội thảo chuyên đề định kỳ để tổng hợp tri thức.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,34,"Trong SPuD (Skills Planning and Development), ai chịu trách nhiệm xác thực dữ liệu năng lực nhân viên?",Mô tả hình thức rõ ràng về các thực thể và mối quan hệ giữa chúng trong một lĩnh vực. ,Tập hợp các thuật toán xử lý ngôn ngữ tự nhiên nhằm phân tích dữ liệu văn bản.,Cấu trúc mạng máy tính lưu trữ dữ liệu phi cấu trúc.,Danh mục các quy tắc định lượng mô phỏng hành vi tri thức.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,38,Hệ thống định vị chuyên gia (HỆ THỐNG ĐỊNH VỊ CHUYÊN GIA (ELS)) được phát triển nhằm mục đích chính nào?,Taxonomy dùng trong AI; ontology dùng trong hệ thống thống kê.,Taxonomy mang tính động; ontology mang tính tĩnh.,Taxonomy nhóm các đối tượng theo đặc trưng; ontology biểu diễn mối quan hệ giữa chúng. ,Taxonomy định nghĩa luật suy luận; ontology chỉ tập trung vào dữ liệu thô.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,42,Phương thức truy cập phổ biến nhất của HỆ THỐNG ĐỊNH VỊ CHUYÊN GIA (ELS) trong doanh nghiệp là gì?,"Cung cấp cơ sở dữ liệu tập trung chứa hồ sơ năng lực của nhân viên, có thể tìm kiếm đa tiêu chí. ",Sử dụng mạng phi tập trung giữa các nhóm nghiên cứu để trao đổi tri thức ẩn.,Tập trung vào việc tự động hóa đào tạo thay vì xác định chuyên gia.,Tích hợp dữ liệu từ các mạng xã hội bên ngoài để xếp hạng nhân viên.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,46,Nhược điểm lớn của việc tái sử dụng ontology chuẩn có sẵn là gì?,Giảm thiểu chi phí duy trì hệ thống nhân sự.,Tăng doanh số bán hàng ngắn hạn.,Ghép năng lực nhân viên với vị trí công việc phù hợp. ,Tự động hóa quy trình kiểm toán tài chính.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,50,Tổ chức Achmea Holding N.V. khuyến khích việc chia sẻ tri thức bằng cách nào?,Tự động tạo ra các nhóm chuyên môn dựa trên chủ đề.,Kiểm soát từ vựng được dùng để bảo đảm các khái niệm được sử dụng nhất quán. ,Lưu trữ toàn bộ các bản sao của cơ sở dữ liệu tri thức nội bộ.,Ghi nhận quyền sở hữu trí tuệ của từng tác giả tri thức.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,54,"Theo định nghĩa của Weber & Aha (2003), bài học kinh nghiệm là gì?",Người quản lý chủ động yêu cầu nhân viên nộp báo cáo định kỳ.,Hệ thống chuyên gia tự động phát hiện và đề xuất bài học từ nội dung được phân tích. ,Tổ chức thuê chuyên gia đánh giá các lỗi quy trình hàng quý.,Các nhóm dự án tổ chức họp thường niên để tổng hợp kinh nghiệm.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,58,Điều kiện tiên quyết để một hệ thống hỗ trợ chia sẻ tri thức ẩn thành công là gì?,Sử dụng mô hình học máy để tự động sinh ontology mới.,Loại bỏ hoàn toàn các mối quan hệ phức tạp giữa các thực thể.,Tái sử dụng ontology đã được phát triển bởi các tổ chức chuẩn hóa. ,Giới hạn số lượng khái niệm được định nghĩa trong mỗi lĩnh vực.,,Đúng
Chapter 8 - Part 2 - Mini Test_ Xem lại lần làm thử.txt,60,Hệ thống Knowledge Bank của World Bank được thiết kế nhằm mục tiêu nào?,Chuẩn hóa thuật toán tìm kiếm trong toàn bộ mạng nội bộ.,Xây dựng chính xác một hệ thống phân loại tri thức hoặc ontology. ,Phân quyền truy cập chuyên gia theo cấu trúc tổ chức.,Tối ưu hóa giao diện người dùng để truy vấn dữ liệu nhanh hơn. ◄ Slides - Nhóm 12 Chuyển tới... Slides - Nhóm 13 ► Hệ thống LMS/LCMS cho Blended learning tại Đại học Kinh tế Quốc dân INFO CỔNG THÔNG TIN ĐÀO TẠO daihocchinhquy.neu.edu.vn myaep.neu.edu.vn vlvh.neu.edu.vn thacsi.neu.edu.vn CONTACT US 207 Giải phóng  Phone : +84 36280280  E-mail : ask-cait@neu.edu.vn Copyright © 2020 - Developed by CAIT@neu. Powered by Moodle Data retention summary Get the mobile app GET SOCIAL    ,,Đúng
